KEY,english,koreana,japanese,tchinese,schinese
Alert_Experimental,This feature is experimental!,이 기능은 실험입니다!,この機能は実験的なものです！,這個功能是實驗性的！,这个功能是实验性的！
Alert_DemoMode,DEMO VERSION: MixCast isn't enabled in other applications and settings aren't saved,DEMO 버전 : MixCast은 다른 응용 프로그램에서 사용할 수 없습니다 및 설정이 저장되지 않습니다,DEMO VERSION：MixCastは、他のアプリケーションで有効になっていないと設定が保存されません,演示版本：MixCast在其他應用程序中未啟用，設置不保存,演示版本：MixCast在其他应用程序中未启用，设置不保存
Action_Apply,Apply,대다,適用します,應用,应用
Field_MixCastVersion,v{0},V {0},V {0},v{0},v{0}
Action_StartQuickCalib,Quick Setup,빠른 설치,クイックセットアップ,快速設置,快速设置
Action_ModifyPosition,Modify Position,위치 수정,位置を変更します,修改位置,修改位置
Action_ModifyRotation,Modify Rotation,회전 수정,ローテーションを変更します。,修改旋轉,修改旋转
Action_ConfirmSetup,Confirm,확인,確かめます,確認,确认
Action_ProceedSetup,Increase Precision,정밀을 증가,精度を上げます,提高精度,提高精度
Title_DeviceSettings,Input Device,입력 장치,入力装置,輸入設備,输入设备
Field_Identifier,Device Name,장치 이름,装置名,設備名稱,设备名称
Field_FieldOfView,Vertical Field of View (deg),뷰의 수직 필드 (DEG),垂直視野（度）,垂直視場（度）,垂直视场（度）
Field_ReqResolution,Input Resolution,입력 해상도,入力分解能,輸入分辨率,输入分辨率
Tooltip_FoVNotSet,Camera-specific Field of View must be defined. Value should be between 10-180 degrees.,보기의 카메라 특정 필드를 정의해야합니다. 값은 10-180도 사이 여야합니다.,ビューのカメラ固有のフィールドを定義する必要があります。値は、10から180度の間でなければなりません。,必須定義相機特定的視野。 價值應在10-180度之間。,必须定义相机特定的视野。 价值应在10-180度之间。
Title_OutputSettings,Compositing,합성,コンポジット,合成,合成
Field_OutputResolution,Output Resolution,아웃풋 해상도,出力解像度,輸出解析度,输出分辨率
Field_OutputFramerate,Output Framerate (FPS),아웃풋 프레임레이트(FPS),出力フレームレート (FPS),輸出幀率 (FPS),输出帧率(FPS)
Tooltip_OutputScreenAdaptive,Dimension adjusts with screen aspect,치수는 화면 비율에 따라 조절됩니다,画面アスペクト比に合わせて寸法が調整されます,根據螢幕長寬比調整尺寸,尺寸根据屏幕比例调整
Field_OutputMode,Display Mode,디스플레이 모드,ディスプレイモード,顯示模式,显示模式
Tooltip_BufferedMode,Support for transparency in the foreground is reduced in this mode and output may vary between experiences,전경의 투명성에 대한 지원은이 모드에서 감소되고 출력은 경험에 따라 다를 수 있습니다,前景の透明度をサポートするには、このモードでは低減され、出力は経験の間で変動し得ます,在這種模式下，對前景的透明度的支持被減少，輸出可能因經驗而異,在这种模式下，对前景的透明度的支持减少，输出可能会有所不同
Tooltip_QuadrantMode,Support for transparency in the foreground is reduced in this mode and output may vary between experiences,전경의 투명성에 대한 지원은이 모드에서 감소되고 출력은 경험에 따라 다를 수 있습니다,前景の透明度をサポートするには、このモードでは低減され、出力は経験の間で変動し得ます,在這種模式下，對前景的透明度的支持被減少，輸出可能因經驗而異,在这种模式下，对前景的透明度的支持减少，输出可能会有所不同
Field_GameDelay,Delay Compensation (ms),지연 보정(ms),ディレイ補正 (ms),延遲補償 (ms),延迟补偿(ms)
Tooltip_BufferTimeRange,Delay must be between 1-5000 ms,지연 1-5000 MS 사이 여야합니다,遅延は1〜5000ミリ秒の間でなければなりません,延遲時間必須在1-5000毫秒之間,延迟时间必须在1-5000毫秒之间
Tooltip_BufferTimeLow,Low latency devices may be better utilized with Immediate mode,낮은 대기 시간이 장치는 더 나은 즉시 모드로 사용될 수있다,低遅延デバイスは、より良い即時モードで利用することができます,低延遲設備可以更好地用於立即模式,低延迟设备可以更好地用于立即模式
Title_PlayerMenu,Subject,주체,対象者,主體,对象
Field_PlayerCropActive,Enable Extended BG Removal,확장 배경 제거 사용 설정,拡張BG除去を有効にする,啟用伸延背景移除功能,启用扩展BG删除
Header_CropPadding,Extension Padding (m),확장 패딩(m),拡張パディング (m),伸延邊緣空間 (m),扩展填充(m)
Field_CropPaddingHead,Head,머리,ヘッド,頭部,头部
Field_CropPaddingHands,Hands,손,ハンド,手,手部
Field_CropPaddingBase,Feet,발,フィート,腳,脚部
Field_IsolationMode,Isolation Mode,격리 모드,分離モード,隔離模式,隔离模式
Field_Chromakey,Chromakeying,Chromakeying,クロマキー,色度鍵控,色度键控
Field_ChromaSpill,Fade Falloff,유출 페더,流出フェザリング,溢出羽毛,溢出羽毛
Field_ChromaDesaturationBand,Desaturation Band,NL,NL,NL,NL
Field_ChromaDesaturationFalloff,Desaturation Falloff,NL,NL,NL,NL
